id,predicted_class
0,0
1,0
2,1
3,0
4,0
5,0
6,1
7,0
8,0
9,0
10,1
11,1
12,0
13,0
14,0
15,1
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,1
25,0
26,0
27,1
28,0
29,1
30,1
31,0
32,0
33,1
34,0
35,0
36,1
37,1
38,1
39,1
40,1
41,0
42,1
43,0
44,1
45,1
46,1
47,0
48,1
49,1
50,1
51,0
52,1
53,1
54,0
55,0
56,0
57,1
58,1
59,1
60,0
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,0
69,1
70,0
71,1
72,1
73,1
74,1
75,0
76,1
77,0
78,0
79,0
80,1
81,0
82,0
83,0
84,1
85,0
86,1
87,1
88,1
89,0
90,1
91,1
92,0
93,0
94,1
95,0
96,1
97,1
98,1
99,1
100,0
101,0
102,1
103,0
104,1
105,0
106,1
107,0
108,0
109,1
110,0
111,0
112,1
113,0
114,0
115,0
116,1
117,1
118,1
119,1
120,0
121,0
122,1
123,0
124,0
125,1
126,1
127,0
128,1
129,0
130,0
131,0
132,0
133,1
134,1
135,0
136,1
137,0
138,1
139,0
140,1
141,1
142,0
143,1
144,0
145,0
146,1
147,1
148,0
149,1
150,0
151,1
152,0
153,1
154,1
155,0
156,1
157,1
158,1
159,0
160,0
161,1
162,0
163,0
164,0
165,1
166,0
167,1
168,0
169,0
170,1
171,0
172,0
173,0
174,1
175,0
176,0
177,0
178,1
179,0
180,1
181,0
182,1
183,0
184,0
185,1
186,0
187,0
188,0
189,0
190,1
191,0
192,1
193,0
194,0
195,1
196,0
197,0
198,1
199,0
200,1
201,0
202,1
203,0
204,0
205,1
206,0
207,1
208,0
209,1
210,1
211,0
212,1
213,1
214,0
215,0
216,1
217,0
218,0
219,0
220,1
221,1
222,0
223,0
224,0
225,0
226,0
227,1
228,0
229,0
230,1
231,0
232,1
233,0
234,0
235,0
236,0
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,0
252,1
253,1
254,0
255,1
256,0
257,0
258,1
259,0
260,1
261,0
262,1
263,0
264,0
265,0
266,1
267,1
268,0
269,0
270,1
271,0
272,0
273,0
274,1
275,1
276,1
277,0
278,1
279,1
280,1
281,0
282,0
283,1
284,1
285,0
286,1
287,1
288,0
289,0
290,0
291,1
292,0
293,0
294,1
295,1
296,0
297,1
298,0
299,1
300,0
301,1
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,1
310,1
311,1
312,1
313,0
314,0
315,1
316,1
317,1
318,0
319,0
320,1
321,1
322,1
323,1
324,0
325,0
326,1
327,1
328,0
329,0
330,1
331,1
332,1
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,1
346,1
347,1
348,0
349,1
350,0
351,0
352,1
353,1
354,1
355,0
356,1
357,0
358,1
359,1
360,0
361,0
362,0
363,0
364,1
365,1
366,1
367,1
368,0
369,1
370,0
371,1
372,0
373,1
374,0
375,0
376,0
377,1
378,0
379,0
380,0
381,1
382,1
383,0
384,0
385,0
386,1
387,0
388,1
389,0
390,1
391,1
392,1
393,0
394,1
395,1
396,0
397,0
398,1
399,0
400,1
401,0
402,0
403,1
404,0
405,1
406,1
407,1
408,0
409,1
410,1
411,1
412,0
413,1
414,1
415,0
416,0
417,0
418,1
419,0
420,1
421,0
422,1
423,1
424,1
425,1
426,1
427,1
428,0
429,0
430,1
431,1
432,1
433,1
434,1
435,0
436,1
437,0
438,1
439,0
440,1
441,0
442,0
443,0
444,0
445,0
446,1
447,1
448,0
449,0
450,0
451,0
452,0
453,0
454,1
455,1
456,0
457,1
458,0
459,0
460,1
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,1
469,0
470,0
471,1
472,0
473,1
474,1
475,1
476,0
477,1
478,0
479,0
480,0
481,0
482,0
483,1
484,0
485,0
486,1
487,1
488,1
489,1
490,1
491,1
492,0
493,0
494,0
495,0
496,1
497,1
498,1
499,1
500,0
501,1
502,0
503,0
504,0
505,0
506,1
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,1
519,1
520,0
521,0
522,0
523,0
524,0
525,0
526,1
527,1
528,0
529,0
530,0
531,0
